zeit,symbol,mint,grund,alter_h,mcap,liq,holder,holder_1h_pct,netto_kaeufer_5m,preis_usd
2026-09-26 02:47:17,MET,METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,STORY_ZU_ALT,8151.31,196979067,4875910,44744,-0.0,6,0.353787115734
2026-09-26 02:47:17,NEARKAT,6UtY9iTZMQQ5QZVrbzFnNaJntV7oySm9k97mvwnuZcxr,STORY_ZU_ALT,458.22,5501810,351835,7347,-0.1,3,0.00554425816743
2026-09-26 02:47:17,FLAME,9oXA1VWKNiYDYa6VKHBFFBBvZdvuhw1b2eD5Aka7YrVt,STORY_ZU_ALT,352.97,498034,54452,2755,0.7,3,0.000498067821522
2026-09-26 02:47:17,KINS,Tqj8yFmagrg7oorpQkVGYR52r96RFTamvWfth9bpump,STORY_ZU_ALT,3033.21,1205363,105549,20784,-0.0,2,0.00121544653211
2026-09-26 02:47:17,SPX,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,STORY_ZU_ALT,20108.78,38149949,3172101,76906,0.0,2,0.460319256406
2026-09-26 02:47:17,THURSDAY,8hQ3yr3rzG2Ln4NADYpUBPxvxJUv8KHSZ374QQvPKq3j,STORY_ZU_ALT,201.45,7026,2153,224,5.7,7,7.20456648993e-06
2026-09-26 02:47:17,FLWS,FLWSojG1gB5VStYR3Sb4nQFRt43UBYkqih1j2CpVLqgd,STORY_ZU_ALT,327.88,129341,92756,6698,0.1,3,2.75118231186
2026-09-26 02:47:17,goon,HSUMi4rMgjrx7zRUabw3ogGu1pa5hmF2eVcXj9Apump,STORY_ZU_ALT,53.22,983504,168399,4755,-1.4,6,0.00100648434902
2026-09-26 02:47:17,ORE,oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,STORY_ZU_ALT,18819.47,39225066,724428,33083,-0.0,3,78.9327541578
2026-09-26 02:47:17,DOOD,DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV,STORY_ZU_ALT,12140.04,19080261,352198,110342,0.0,4,0.00190809652464
2026-09-26 02:47:17,ORCA,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,STORY_ZU_ALT,20108.78,99818022,341940,90260,0.0,4,1.64177712707
2026-09-26 02:47:17,LARP,GiBouKqFnNumhkoxYh68Up6h8qg2SS9ZGqshyiwTpaid,STORY_ZU_ALT,245.73,9660,2686,173,4.2,11,9.90685908849e-06
2026-09-26 02:47:17,GLDx,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,STORY_ZU_ALT,10557.99,45664897,1081338,38962,-0.1,4,392.757744007
2026-09-26 02:47:17,STRK,HsRpHQn6VbyMs5b5j5SV6xQ2VvpvvCCzu19GjytVSCoz,STORY_ZU_ALT,6088.02,770986,37123,484,1.0,1,0.0411868655726
2026-09-26 02:47:17,ASTEROID,7cXWSNTq71PZREBmGCBvZirkNwoGokWBQz9fWferViiV,STORY_ZU_ALT,245.00,21117,4842,119,12.3,3,2.19227870938e-05
2026-09-26 02:47:17,ANSEM,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,STORY_ZU_ALT,2429.69,179598554,2318201,140586,0.0,33,0.180073585905
2026-09-26 02:47:17,RIV,2bpT3ksMdwdZ6DuHyq3FDUr7HDwvZ5DRZoT1fUPALJaH,STORY_ZU_ALT,4476.28,38865129,231008,5017,0.0,1,0.004318348553
2026-09-26 02:47:17,VC,DRqXeQA5sKGeksnRTvhTGEwpaqNtHQo8bQqub7pjpump,STORY_ZU_ALT,442.56,225377,21069,2132,0.0,1,0.000225504481268
2026-09-26 02:47:17,ISG,3uEVodfTeqLsBssjQ5VPEwwdsTwWCJGCd3FVyx7RUNVB,STORY_ZU_ALT,360.93,101185,16562,417,0.2,3,0.000101185472665
2026-09-26 02:47:17,LCAT,AxUwe3ex83MCKvsvhXwW2adw5L4dENwHyy5t5MX7crUV,STORY_ZU_ALT,244.81,18594,4547,167,2.5,7,1.918659097e-05
2026-09-26 02:47:17,SKHY,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,STORY_ZU_ALT,1870.85,2139622,2415398,1640,0.1,1,190.673265968
2026-09-26 02:47:17,cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,STORY_ZU_ALT,16500.22,248792919,30532585,73149,-0.0,2,84014.8078424
2026-09-26 02:47:17,TSLAx,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,STORY_ZU_ALT,10933.85,85298092,1449177,40527,0.1,1,371.448202534
2026-09-26 02:47:17,PSYOPANIME,6nNdopDSgM5vn2hTgfWWkM9xE5fqZ6NqhJSBBygveNc8,KEINE_ECHTEN_KAEUFER,0.26,29650,6146,432,747.1,199,3.11135312831e-05
2026-09-26 02:47:17,JTO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,STORY_ZU_ALT,24584.70,299460979,627840,90345,0.0,5,0.569757461071
2026-09-26 02:47:17,roon,DmB3oUjBpsXscdqcx4eYPaMaJRhRJ1oovwvjgzj7BoNA,VERBREITUNG_STOCKT,1.77,266541,22114,821,-17.3,26,0.00027093066271
2026-09-26 02:47:17,BOTIFY,7C94RweVKZtBhA291WpXW7pkYEnbqhGvCFTU8nPoBTFY,STORY_ZU_ALT,109.68,1757812,58707,1363,-2.2,17,0.00175781210244
2026-09-26 02:47:17,MOODENG,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,STORY_ZU_ALT,17889.36,49675300,1609543,93746,-0.0,1,0.0501802864087
2026-09-26 02:47:17,HUSKY,8TSUhXRhpEFtUVfDFAQdYCwgp2mEbs2jQk7tAYc1pump,STORY_ZU_ALT,99.91,19209,4894,570,4.4,0,1.99299722537e-05
2026-09-26 02:47:17,AAPLx,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,STORY_ZU_ALT,10932.43,52557525,599934,34607,-0.1,1,340.695600769
