timestamp,source,strategy,symbol,token_address,reason,checkpoint_h,ref_price_usd,now_price_usd,change_pct,ref_liq_usd,now_liq_usd,later_bought
2026-09-21 15:50:59,ENTRY,CTO,BINKY,2g23GpSneyx7Uqb25YKA6i66m8f1VDYwpGCVGXhdwK8h,gekauft,1.0,0.000063360000,0.000060510000,-4.50,23555,23060,nein
2026-09-21 15:53:23,REJECT,CTO,UNITY,HfHsU5Nmf2ei2YzzBAgNH1VhPwBreau8zPZauvgMmoon,liq,4.0,0.000064640000,0.000034460000,-46.69,254,0,nein
2026-09-21 16:12:28,EXIT,CTO,REMARC,3fAxeRbjd75zp9TZ5xGYAnannU7h9qvcPbSzh95vvt4Y,CTO_TRAILING_TP,4.0,0.000031880000,0.000034760000,+9.03,16886,17854,nein
2026-09-21 16:29:47,JUP_SIGNAL,CTO,MCAT,6oeiky8G8ZnuvadARQPRMkV6FRz8ALKd579ZuXhKSTNK,dd-77_m5+15_net11,4.0,0.000096867868,0.000114900000,+18.62,15639,33601,nein
2026-09-21 17:03:36,JUP_SIGNAL,CTO,JEANPHIL,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,dd-63_m5+9_net225,4.0,0.002578823354,0.001652000000,-35.94,390309,156236,nein
2026-09-21 17:15:30,EXIT,CTO,BINKY,2g23GpSneyx7Uqb25YKA6i66m8f1VDYwpGCVGXhdwK8h,CTO_HARD_STOP,1.0,0.000050450000,0.000051570000,+2.22,21046,21339,nein
2026-09-21 17:17:54,JUP_SIGNAL,CTO,ACAT,7uvLyn87LSxW2GdwdEeiwmSJwQLVrcVyo7SRVcLbbtGc,dd-55_m5+7_net9,1.0,0.000625510457,0.000579200000,-7.40,60678,67306,nein
2026-09-21 17:34:30,JUP_SIGNAL,CTO,+++++,FPPGF5RNgCvNzqrRqWrkgkL4YQhzqKMNVtD1kWk1ooqg,dd-60_m5+4_net21,4.0,0.000357509612,0.000585500000,+63.77,38672,77331,nein
2026-09-21 17:41:38,JUP_SIGNAL,CTO,TIPPED,tipp4C4Jnpft26HC9VXNjUPidojZqxXf8nzKvrKf5BS,dd-74_m5+11_net11,4.0,0.000198318772,0.000124400000,-37.27,26597,41611,nein
2026-09-21 17:41:38,JUP_SIGNAL,CTO,MCAT,6oeiky8G8ZnuvadARQPRMkV6FRz8ALKd579ZuXhKSTNK,dd-77_m5+8_net4,1.0,0.000105764896,0.000077430000,-26.79,16481,27690,nein
2026-09-21 17:48:17,JUP_SIGNAL,CTO,UMADBRO,EPeReW6ScEqdeC7eVDceLuJDLrW7m1ggnaenSeQoP9b2,dd-57_m5+18_net11,4.0,0.000088118640,0.000094390000,+7.12,14772,30821,nein
2026-09-21 18:05:59,REJECT,CTO,BINKY,2g23GpSneyx7Uqb25YKA6i66m8f1VDYwpGCVGXhdwK8h,surge,4.0,0.000076270000,0.000056520000,-25.89,25727,22314,ja
2026-09-21 18:11:21,JUP_SIGNAL,CTO,JEANPHIL,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,dd-80_m5+4_net56,1.0,0.001824720281,0.001625000000,-10.95,249429,155110,nein
2026-09-21 18:11:58,JUP_SIGNAL,CTO,LEAN,2Hm8qcnud7LEes2inqHcohQKcD7sqAqX8wb9W2uxwB7g,dd-57_m5+16_net13,4.0,0.000201228608,0.000165200000,-17.90,21810,39040,nein
