timestamp,symbol,token_address,pair_address,dex,age_hours,gain_24h_pct,mcap_usd,liquidity_usd,vol_24h_usd,first_hour_max_gain_pct,deepest_dip_pct,top10_holder_pct,jup_price_impact_pct,rugcheck_score
2026-09-17 02:07:04,RIDE,Ah2gs1iCXYJC8F3CMYrdFdCC4N14WuUY5Hsuyif7pump,5ef9oukhbKA9tT2SVRhch5R8A1hSBMcvhBaPcJmTGLE3,PUMPFUN,27.3,282.0,14089.59,0.0,14750.41,0.0,0.0,100.0,-1.0,1
2026-09-17 10:34:03,WANG,JoBxYVvPhPSkiZNiUjZdty1uR6TaNneuQvE3zZ2pump,CVsHkQ2AouiDi5dtDRHZ9VJ9189i8jjheGap28zq6gDn,PUMPSWAP,3.8,731.0,327349.0,52402.17,2969001.42,51.7,-38.1,0.0,-1.0,10001
2026-09-17 10:34:03,CASINU,JBWkxegm1EYtpNwW8SXpi72M8b1WqPTr1UVGdA9qq4rt,Erfw425BLYY55iPt1NLsERg4fQgXt1RwcncRggzkTxBc,PUMPFUN,2.1,674.0,22977.58,0.0,43152.08,2.7,-11.4,0.0,-1.0,1
2026-09-17 10:34:03,fomocoin,3wrwK9CctFXYedMVBGYD6sWSTfXgbh2DGQAL3z2epump,2HfEvBEBALUyLbA7eaQcMGpBmBcMwNn6KJWjiCLy7oSr,PUMPSWAP,4.3,344.0,176917.0,34435.92,149053.03,39.3,-34.7,0.0,-1.0,10001
2026-09-17 10:34:03,CLICK,BWNkWqyhDUHDULuUz319MKAqmaTRWXmaYT4FXCsNpump,6h4AGSDqMosAreGyjGJMaHmtGZVeZxfViHnSmSYVLeCD,PUMPFUN,1.2,230.0,10322.67,0.0,27853.72,58.1,-46.7,0.0,-1.0,1
2026-09-17 10:34:03,PAID,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,6xf7dn56P55zJEL9CoMDiDLqqTo7zF1dScEPqNZm92PF,METEORA,39.1,156.0,22740354.0,173653.58,230666.85,23.5,-26.4,14.3,-1.0,1
2026-09-17 15:47:02,CASINU,JBWkxegm1EYtpNwW8SXpi72M8b1WqPTr1UVGdA9qq4rt,Erfw425BLYY55iPt1NLsERg4fQgXt1RwcncRggzkTxBc,PUMPFUN,7.3,971.0,31765.58,0.0,103740.93,28.1,-25.0,0.0,-1.0,1
2026-09-17 15:47:02,SOCIAL,EkRVpycrgCnXJDkJ34bAeGPNZAdPsMEGcKjwNNNRpump,Ep1UBXkDwjTHGTo6HdNLdeNgp99ezQQ2w9mmPmJCr7jS,PUMPFUN,1.6,809.0,31099.93,0.0,35733.65,106.3,-60.1,0.0,-1.0,1
2026-09-17 15:47:02,CALI,8k4sBtEeK4pf26noKqApv8NBTnuSJcbdwpKYknk5PbAA,2i2iULr7UwK1SDRB17T5FUtiMnFQL7fyy7rh69brZihc,PUMPSWAP,3.6,363.0,189569.0,36018.03,435168.91,46.5,-66.4,0.0,-1.0,10501
2026-09-17 15:47:02,WANG,JoBxYVvPhPSkiZNiUjZdty1uR6TaNneuQvE3zZ2pump,CVsHkQ2AouiDi5dtDRHZ9VJ9189i8jjheGap28zq6gDn,PUMPSWAP,9.0,354.0,178854.0,39140.59,3330402.76,2.6,-38.5,0.0,-1.0,10001
